epoch: 1/400, train_loss: 0.5760, train_acc: 0.7484, test_loss: 0.5615, test_acc: 0.7520 
epoch: 2/400, train_loss: 0.5672, train_acc: 0.7491, test_loss: 0.5636, test_acc: 0.7520 
epoch: 3/400, train_loss: 0.5665, train_acc: 0.7492, test_loss: 0.5652, test_acc: 0.7520 
epoch: 4/400, train_loss: 0.5607, train_acc: 0.7492, test_loss: 0.7333, test_acc: 0.2599 
epoch: 5/400, train_loss: 0.5395, train_acc: 0.7528, test_loss: 0.7098, test_acc: 0.4221 
epoch: 31/300, train_loss: 0.2961, train_acc: 0.8894, test_loss: 0.3067, test_acc: 0.8753, time: 133.430702925s 
epoch: 32/300, train_loss: 0.2934, train_acc: 0.8907, test_loss: 0.3111, test_acc: 0.8733, time: 133.088725805s 
epoch: 33/300, train_loss: 0.2936, train_acc: 0.8907, test_loss: 0.3093, test_acc: 0.8736, time: 133.258379936s 
epoch: 34/300, train_loss: 0.2939, train_acc: 0.8888, test_loss: 0.3018, test_acc: 0.8732, time: 132.374860048s 
epoch: 35/300, train_loss: 0.2893, train_acc: 0.8943, test_loss: 0.3085, test_acc: 0.8724, time: 132.408169031s 
epoch: 36/300, train_loss: 0.2906, train_acc: 0.8917, test_loss: 0.2986, test_acc: 0.8783, time: 132.908361912s 
epoch: 37/300, train_loss: 0.2892, train_acc: 0.8932, test_loss: 0.3070, test_acc: 0.8730, time: 132.890363932s 
epoch: 38/300, train_loss: 0.2908, train_acc: 0.8931, test_loss: 0.3073, test_acc: 0.8729, time: 132.090559006s 
epoch: 39/300, train_loss: 0.2867, train_acc: 0.8936, test_loss: 0.3167, test_acc: 0.8747, time: 132.857208014s 
epoch: 40/300, train_loss: 0.2889, train_acc: 0.8923, test_loss: 0.3073, test_acc: 0.8713, time: 133.309172869s 
epoch: 41/300, train_loss: 0.2865, train_acc: 0.8954, test_loss: 0.3018, test_acc: 0.8759, time: 133.076869965s 
epoch: 42/300, train_loss: 0.2833, train_acc: 0.8979, test_loss: 0.2950, test_acc: 0.8799, time: 133.472149849s 
epoch: 43/300, train_loss: 0.2856, train_acc: 0.8965, test_loss: 0.3028, test_acc: 0.8779, time: 134.206326008s 
epoch: 44/300, train_loss: 0.2827, train_acc: 0.8973, test_loss: 0.3021, test_acc: 0.8747, time: 134.502701044s 
epoch: 45/300, train_loss: 0.2854, train_acc: 0.8959, test_loss: 0.3207, test_acc: 0.8620, time: 133.691055059s 
epoch: 46/300, train_loss: 0.2859, train_acc: 0.8959, test_loss: 0.3074, test_acc: 0.8743, time: 134.516964912s 
epoch: 47/300, train_loss: 0.2814, train_acc: 0.8981, test_loss: 0.2925, test_acc: 0.8789, time: 132.828558922s 
epoch: 48/300, train_loss: 0.2817, train_acc: 0.8971, test_loss: 0.3172, test_acc: 0.8680, time: 134.017341852s 
epoch: 49/300, train_loss: 0.2818, train_acc: 0.8982, test_loss: 0.2937, test_acc: 0.8771, time: 133.496119022s 
epoch: 50/300, train_loss: 0.2820, train_acc: 0.8986, test_loss: 0.3003, test_acc: 0.8726, time: 133.849645138s 
epoch: 51/300, train_loss: 0.2782, train_acc: 0.9014, test_loss: 0.3017, test_acc: 0.8754, time: 132.41967082s 
epoch: 52/300, train_loss: 0.2782, train_acc: 0.8980, test_loss: 0.2951, test_acc: 0.8789, time: 138.481710911s 
epoch: 53/300, train_loss: 0.2822, train_acc: 0.8981, test_loss: 0.2907, test_acc: 0.8793, time: 138.488003969s 
epoch: 54/300, train_loss: 0.2782, train_acc: 0.8975, test_loss: 0.3038, test_acc: 0.8780, time: 138.094264984s 
epoch: 55/300, train_loss: 0.2775, train_acc: 0.8997, test_loss: 0.2968, test_acc: 0.8736, time: 135.272942066s 
epoch: 56/300, train_loss: 0.2785, train_acc: 0.8981, test_loss: 0.3026, test_acc: 0.8687, time: 133.838004112s 
epoch: 57/300, train_loss: 0.2762, train_acc: 0.8997, test_loss: 0.3110, test_acc: 0.8675, time: 133.129513979s 
epoch: 58/300, train_loss: 0.2771, train_acc: 0.8995, test_loss: 0.2934, test_acc: 0.8807, time: 132.735229015s 
epoch: 59/300, train_loss: 0.2745, train_acc: 0.9009, test_loss: 0.2939, test_acc: 0.8747, time: 133.601294041s 
epoch: 60/300, train_loss: 0.2506, train_acc: 0.8976, test_loss: 0.2865, test_acc: 0.8812, time: 133.170653105s 
epoch: 61/300, train_loss: 0.2347, train_acc: 0.9048, test_loss: 0.2846, test_acc: 0.8830, time: 133.819947004s 
epoch: 62/300, train_loss: 0.2258, train_acc: 0.9070, test_loss: 0.2775, test_acc: 0.8901, time: 132.786858082s 
epoch: 63/300, train_loss: 0.2203, train_acc: 0.9082, test_loss: 0.2791, test_acc: 0.8854, time: 133.408955097s 
epoch: 64/300, train_loss: 0.2173, train_acc: 0.9126, test_loss: 0.2786, test_acc: 0.8879, time: 132.938297987s 
epoch: 65/300, train_loss: 0.2168, train_acc: 0.9116, test_loss: 0.2757, test_acc: 0.8886, time: 133.30678606s 
epoch: 66/300, train_loss: 0.2128, train_acc: 0.9135, test_loss: 0.2812, test_acc: 0.8872, time: 133.46904397s 
epoch: 67/300, train_loss: 0.2088, train_acc: 0.9146, test_loss: 0.2767, test_acc: 0.8888, time: 134.397058964s 
epoch: 68/300, train_loss: 0.2129, train_acc: 0.9140, test_loss: 0.2750, test_acc: 0.8907, time: 134.303631067s 
epoch: 69/300, train_loss: 0.2077, train_acc: 0.9172, test_loss: 0.2797, test_acc: 0.8892, time: 133.761542082s 
epoch: 70/300, train_loss: 0.2046, train_acc: 0.9167, test_loss: 0.2773, test_acc: 0.8875, time: 133.076487064s 
epoch: 71/300, train_loss: 0.2015, train_acc: 0.9172, test_loss: 0.2792, test_acc: 0.8921, time: 132.65912199s 
epoch: 72/300, train_loss: 0.2008, train_acc: 0.9183, test_loss: 0.2807, test_acc: 0.8883, time: 133.752036095s 
epoch: 73/300, train_loss: 0.2013, train_acc: 0.9211, test_loss: 0.2874, test_acc: 0.8884, time: 133.232816219s 
epoch: 74/300, train_loss: 0.1992, train_acc: 0.9202, test_loss: 0.2822, test_acc: 0.8908, time: 133.024600029s 
epoch: 75/300, train_loss: 0.1966, train_acc: 0.9214, test_loss: 0.2872, test_acc: 0.8876, time: 134.366311073s 
epoch: 76/300, train_loss: 0.1932, train_acc: 0.9236, test_loss: 0.2853, test_acc: 0.8878, time: 132.726350784s 
epoch: 77/300, train_loss: 0.1925, train_acc: 0.9225, test_loss: 0.2899, test_acc: 0.8875, time: 132.506083965s 
epoch: 78/300, train_loss: 0.1899, train_acc: 0.9253, test_loss: 0.2937, test_acc: 0.8859, time: 133.229519129s 
epoch: 79/300, train_loss: 0.1940, train_acc: 0.9243, test_loss: 0.2798, test_acc: 0.8928, time: 133.362077951s 
epoch: 80/300, train_loss: 0.1874, train_acc: 0.9239, test_loss: 0.2964, test_acc: 0.8909, time: 133.666051865s 
epoch: 81/300, train_loss: 0.1864, train_acc: 0.9268, test_loss: 0.3047, test_acc: 0.8880, time: 133.82181716s 
epoch: 82/300, train_loss: 0.1892, train_acc: 0.9258, test_loss: 0.2944, test_acc: 0.8907, time: 132.779607058s 
epoch: 83/300, train_loss: 0.1878, train_acc: 0.9260, test_loss: 0.3002, test_acc: 0.8895, time: 133.740405083s 
epoch: 84/300, train_loss: 0.1853, train_acc: 0.9281, test_loss: 0.3028, test_acc: 0.8912, time: 133.100069046s 
epoch: 85/300, train_loss: 0.1835, train_acc: 0.9293, test_loss: 0.3068, test_acc: 0.8879, time: 133.396357059s 
epoch: 86/300, train_loss: 0.1828, train_acc: 0.9268, test_loss: 0.2899, test_acc: 0.8901, time: 132.829365015s 
epoch: 87/300, train_loss: 0.1843, train_acc: 0.9285, test_loss: 0.3058, test_acc: 0.8879, time: 133.749185801s 
epoch: 88/300, train_loss: 0.1819, train_acc: 0.9270, test_loss: 0.3049, test_acc: 0.8888, time: 134.034068108s 
epoch: 89/300, train_loss: 0.1840, train_acc: 0.9289, test_loss: 0.3084, test_acc: 0.8839, time: 133.10641098s 
epoch: 90/300, train_loss: 0.1822, train_acc: 0.9300, test_loss: 0.2965, test_acc: 0.8907, time: 132.820437908s 
epoch: 91/300, train_loss: 0.1742, train_acc: 0.9311, test_loss: 0.3079, test_acc: 0.8867, time: 133.062355995s 
epoch: 92/300, train_loss: 0.1801, train_acc: 0.9319, test_loss: 0.2958, test_acc: 0.8899, time: 132.696048975s 
epoch: 93/300, train_loss: 0.1770, train_acc: 0.9335, test_loss: 0.3084, test_acc: 0.8909, time: 134.032280922s 
epoch: 94/300, train_loss: 0.1726, train_acc: 0.9330, test_loss: 0.3117, test_acc: 0.8846, time: 133.310016155s 
epoch: 95/300, train_loss: 0.1747, train_acc: 0.9338, test_loss: 0.3043, test_acc: 0.8896, time: 133.545948029s 
epoch: 96/300, train_loss: 0.1704, train_acc: 0.9337, test_loss: 0.3083, test_acc: 0.8892, time: 133.924511194s 
epoch: 97/300, train_loss: 0.1732, train_acc: 0.9338, test_loss: 0.3151, test_acc: 0.8857, time: 133.638321161s 
epoch: 98/300, train_loss: 0.1745, train_acc: 0.9333, test_loss: 0.3192, test_acc: 0.8839, time: 133.368225098s 
epoch: 99/300, train_loss: 0.1690, train_acc: 0.9358, test_loss: 0.3093, test_acc: 0.8904, time: 133.911578178s 
epoch: 100/300, train_loss: 0.1705, train_acc: 0.9346, test_loss: 0.3142, test_acc: 0.8888, time: 133.733623028s 
epoch: 101/300, train_loss: 0.1680, train_acc: 0.9356, test_loss: 0.3109, test_acc: 0.8887, time: 132.662114859s 
epoch: 102/300, train_loss: 0.1682, train_acc: 0.9358, test_loss: 0.3141, test_acc: 0.8847, time: 133.665847063s 
epoch: 103/300, train_loss: 0.1666, train_acc: 0.9333, test_loss: 0.3272, test_acc: 0.8854, time: 133.912247896s 
epoch: 104/300, train_loss: 0.1647, train_acc: 0.9372, test_loss: 0.3372, test_acc: 0.8786, time: 133.993479013s 
epoch: 105/300, train_loss: 0.1658, train_acc: 0.9359, test_loss: 0.3359, test_acc: 0.8786, time: 135.002214193s 
epoch: 106/300, train_loss: 0.1658, train_acc: 0.9375, test_loss: 0.3266, test_acc: 0.8817, time: 134.889219999s 
epoch: 107/300, train_loss: 0.1639, train_acc: 0.9385, test_loss: 0.3263, test_acc: 0.8824, time: 134.140127182s 
epoch: 108/300, train_loss: 0.1648, train_acc: 0.9390, test_loss: 0.3361, test_acc: 0.8797, time: 134.326745987s 
epoch: 109/300, train_loss: 0.1649, train_acc: 0.9383, test_loss: 0.3163, test_acc: 0.8813, time: 134.598972082s 
epoch: 110/300, train_loss: 0.1618, train_acc: 0.9403, test_loss: 0.3220, test_acc: 0.8847, time: 133.799110889s 
epoch: 111/300, train_loss: 0.1627, train_acc: 0.9419, test_loss: 0.3314, test_acc: 0.8833, time: 134.360460997s 
epoch: 112/300, train_loss: 0.1636, train_acc: 0.9385, test_loss: 0.3183, test_acc: 0.8879, time: 134.462816s 
epoch: 113/300, train_loss: 0.1581, train_acc: 0.9394, test_loss: 0.3344, test_acc: 0.8820, time: 134.344999075s 
epoch: 114/300, train_loss: 0.1611, train_acc: 0.9386, test_loss: 0.3474, test_acc: 0.8816, time: 133.4677248s 
epoch: 115/300, train_loss: 0.1589, train_acc: 0.9412, test_loss: 0.3446, test_acc: 0.8828, time: 133.596482038s 
epoch: 116/300, train_loss: 0.1626, train_acc: 0.9417, test_loss: 0.3420, test_acc: 0.8804, time: 133.03037715s 
epoch: 117/300, train_loss: 0.1565, train_acc: 0.9411, test_loss: 0.3423, test_acc: 0.8846, time: 133.817189932s 
epoch: 118/300, train_loss: 0.1557, train_acc: 0.9426, test_loss: 0.3451, test_acc: 0.8808, time: 134.388275146s 
epoch: 119/300, train_loss: 0.1562, train_acc: 0.9411, test_loss: 0.3462, test_acc: 0.8846, time: 133.663845062s 
epoch: 120/300, train_loss: 0.1466, train_acc: 0.9439, test_loss: 0.3276, test_acc: 0.8913, time: 133.691111088s 
epoch: 121/300, train_loss: 0.1415, train_acc: 0.9440, test_loss: 0.3356, test_acc: 0.8907, time: 133.225721836s 
epoch: 122/300, train_loss: 0.1378, train_acc: 0.9452, test_loss: 0.3430, test_acc: 0.8895, time: 133.842478991s 
epoch: 123/300, train_loss: 0.1356, train_acc: 0.9446, test_loss: 0.3397, test_acc: 0.8903, time: 133.324656963s 
epoch: 124/300, train_loss: 0.1343, train_acc: 0.9455, test_loss: 0.3371, test_acc: 0.8896, time: 133.654580832s 
epoch: 125/300, train_loss: 0.1329, train_acc: 0.9474, test_loss: 0.3465, test_acc: 0.8895, time: 133.853035212s 
epoch: 126/300, train_loss: 0.1295, train_acc: 0.9473, test_loss: 0.3529, test_acc: 0.8872, time: 133.452696085s 
epoch: 127/300, train_loss: 0.1318, train_acc: 0.9464, test_loss: 0.3605, test_acc: 0.8862, time: 133.576346874s 
epoch: 128/300, train_loss: 0.1270, train_acc: 0.9514, test_loss: 0.3553, test_acc: 0.8886, time: 132.980950117s 
epoch: 129/300, train_loss: 0.1288, train_acc: 0.9496, test_loss: 0.3538, test_acc: 0.8896, time: 132.743458033s 
epoch: 130/300, train_loss: 0.1281, train_acc: 0.9490, test_loss: 0.3551, test_acc: 0.8886, time: 132.657573938s 
epoch: 131/300, train_loss: 0.1285, train_acc: 0.9497, test_loss: 0.3491, test_acc: 0.8913, time: 131.793470144s 
epoch: 132/300, train_loss: 0.1280, train_acc: 0.9506, test_loss: 0.3480, test_acc: 0.8895, time: 133.697205067s 
epoch: 133/300, train_loss: 0.1275, train_acc: 0.9487, test_loss: 0.3539, test_acc: 0.8899, time: 134.452738047s 
epoch: 134/300, train_loss: 0.1267, train_acc: 0.9502, test_loss: 0.3589, test_acc: 0.8879, time: 132.75019598s 
epoch: 135/300, train_loss: 0.1228, train_acc: 0.9499, test_loss: 0.3594, test_acc: 0.8913, time: 133.60928607s 
epoch: 136/300, train_loss: 0.1240, train_acc: 0.9506, test_loss: 0.3597, test_acc: 0.8903, time: 132.97789216s 
epoch: 137/300, train_loss: 0.1234, train_acc: 0.9506, test_loss: 0.3593, test_acc: 0.8872, time: 133.75743103s 
epoch: 138/300, train_loss: 0.1230, train_acc: 0.9518, test_loss: 0.3668, test_acc: 0.8883, time: 133.155798912s 
epoch: 139/300, train_loss: 0.1234, train_acc: 0.9515, test_loss: 0.3629, test_acc: 0.8884, time: 133.486608028s 
epoch: 140/300, train_loss: 0.1231, train_acc: 0.9501, test_loss: 0.3638, test_acc: 0.8887, time: 133.855074167s 
epoch: 141/300, train_loss: 0.1222, train_acc: 0.9529, test_loss: 0.3658, test_acc: 0.8889, time: 133.852142811s 
epoch: 142/300, train_loss: 0.1219, train_acc: 0.9520, test_loss: 0.3653, test_acc: 0.8889, time: 132.832385778s 
epoch: 143/300, train_loss: 0.1245, train_acc: 0.9518, test_loss: 0.3655, test_acc: 0.8887, time: 133.357586145s 
epoch: 144/300, train_loss: 0.1210, train_acc: 0.9535, test_loss: 0.3677, test_acc: 0.8908, time: 134.049689054s 
epoch: 145/300, train_loss: 0.1252, train_acc: 0.9507, test_loss: 0.3669, test_acc: 0.8895, time: 133.783586979s 
epoch: 146/300, train_loss: 0.1188, train_acc: 0.9530, test_loss: 0.3685, test_acc: 0.8870, time: 133.392838001s 
epoch: 147/300, train_loss: 0.1149, train_acc: 0.9532, test_loss: 0.3741, test_acc: 0.8863, time: 132.772176027s 
epoch: 148/300, train_loss: 0.1175, train_acc: 0.9535, test_loss: 0.3732, test_acc: 0.8864, time: 133.434584856s 
epoch: 149/300, train_loss: 0.1191, train_acc: 0.9542, test_loss: 0.3745, test_acc: 0.8893, time: 133.490363836s 
epoch: 150/300, train_loss: 0.1171, train_acc: 0.9524, test_loss: 0.3741, test_acc: 0.8878, time: 137.494997978s 
epoch: 151/300, train_loss: 0.1203, train_acc: 0.9530, test_loss: 0.3762, test_acc: 0.8891, time: 139.039983988s 
epoch: 152/300, train_loss: 0.1188, train_acc: 0.9524, test_loss: 0.3725, test_acc: 0.8889, time: 138.723740101s 
epoch: 153/300, train_loss: 0.1170, train_acc: 0.9547, test_loss: 0.3746, test_acc: 0.8895, time: 136.573092937s 
epoch: 154/300, train_loss: 0.1150, train_acc: 0.9541, test_loss: 0.3848, test_acc: 0.8883, time: 133.033661127s 
epoch: 155/300, train_loss: 0.1192, train_acc: 0.9535, test_loss: 0.3858, test_acc: 0.8870, time: 133.668359041s 
epoch: 156/300, train_loss: 0.1185, train_acc: 0.9541, test_loss: 0.3842, test_acc: 0.8880, time: 133.145164967s 
epoch: 157/300, train_loss: 0.1131, train_acc: 0.9526, test_loss: 0.3835, test_acc: 0.8896, time: 132.791877985s 
epoch: 158/300, train_loss: 0.1138, train_acc: 0.9556, test_loss: 0.3843, test_acc: 0.8896, time: 133.685170889s 
epoch: 159/300, train_loss: 0.1142, train_acc: 0.9545, test_loss: 0.3887, test_acc: 0.8879, time: 132.937905073s 
epoch: 160/300, train_loss: 0.1154, train_acc: 0.9549, test_loss: 0.3822, test_acc: 0.8889, time: 132.777291059s 
epoch: 161/300, train_loss: 0.1144, train_acc: 0.9545, test_loss: 0.3927, test_acc: 0.8861, time: 132.773391962s 
epoch: 162/300, train_loss: 0.1133, train_acc: 0.9558, test_loss: 0.3848, test_acc: 0.8880, time: 134.130693197s 
epoch: 163/300, train_loss: 0.1103, train_acc: 0.9575, test_loss: 0.3911, test_acc: 0.8879, time: 133.195343971s 
epoch: 164/300, train_loss: 0.1121, train_acc: 0.9550, test_loss: 0.3903, test_acc: 0.8889, time: 133.184535027s 
epoch: 165/300, train_loss: 0.1100, train_acc: 0.9550, test_loss: 0.3907, test_acc: 0.8884, time: 133.014003992s 
epoch: 166/300, train_loss: 0.1121, train_acc: 0.9549, test_loss: 0.3995, test_acc: 0.8857, time: 133.674392939s 
epoch: 167/300, train_loss: 0.1096, train_acc: 0.9567, test_loss: 0.3989, test_acc: 0.8886, time: 134.160371065s 
epoch: 168/300, train_loss: 0.1137, train_acc: 0.9563, test_loss: 0.3884, test_acc: 0.8892, time: 133.565186977s 
epoch: 169/300, train_loss: 0.1114, train_acc: 0.9562, test_loss: 0.3951, test_acc: 0.8883, time: 132.586041927s 
epoch: 170/300, train_loss: 0.1126, train_acc: 0.9563, test_loss: 0.3954, test_acc: 0.8876, time: 134.268079996s 
epoch: 171/300, train_loss: 0.1109, train_acc: 0.9574, test_loss: 0.3979, test_acc: 0.8889, time: 133.28684783s 
epoch: 172/300, train_loss: 0.1070, train_acc: 0.9583, test_loss: 0.3971, test_acc: 0.8857, time: 133.851823092s 
epoch: 173/300, train_loss: 0.1103, train_acc: 0.9559, test_loss: 0.3965, test_acc: 0.8889, time: 133.374653101s 
epoch: 174/300, train_loss: 0.1107, train_acc: 0.9560, test_loss: 0.4061, test_acc: 0.8842, time: 133.839221001s 
epoch: 175/300, train_loss: 0.1095, train_acc: 0.9556, test_loss: 0.3964, test_acc: 0.8862, time: 132.856532097s 
epoch: 176/300, train_loss: 0.1082, train_acc: 0.9566, test_loss: 0.4097, test_acc: 0.8878, time: 133.898424864s 
epoch: 177/300, train_loss: 0.1097, train_acc: 0.9567, test_loss: 0.4120, test_acc: 0.8853, time: 132.99099493s 
epoch: 178/300, train_loss: 0.1060, train_acc: 0.9573, test_loss: 0.4097, test_acc: 0.8855, time: 134.456619024s 
epoch: 179/300, train_loss: 0.1099, train_acc: 0.9580, test_loss: 0.4042, test_acc: 0.8880, time: 134.108540058s 
epoch: 180/300, train_loss: 0.1071, train_acc: 0.9563, test_loss: 0.4056, test_acc: 0.8879, time: 135.319576979s 
epoch: 181/300, train_loss: 0.1045, train_acc: 0.9581, test_loss: 0.4063, test_acc: 0.8872, time: 133.398226023s 
epoch: 182/300, train_loss: 0.1073, train_acc: 0.9591, test_loss: 0.4049, test_acc: 0.8876, time: 134.367220879s 
epoch: 183/300, train_loss: 0.1067, train_acc: 0.9582, test_loss: 0.4054, test_acc: 0.8876, time: 134.228696108s 
epoch: 184/300, train_loss: 0.1039, train_acc: 0.9604, test_loss: 0.4064, test_acc: 0.8871, time: 133.892060995s 
epoch: 185/300, train_loss: 0.1079, train_acc: 0.9563, test_loss: 0.4060, test_acc: 0.8874, time: 134.138207912s 
epoch: 186/300, train_loss: 0.1040, train_acc: 0.9585, test_loss: 0.4077, test_acc: 0.8878, time: 133.650624037s 
